Length,Width,Price_Eur,N. views last 7d,Year Built,clusters,cluster,F1
-0.96352549,-0.835765157,-0.161030304,-0.266821581,0.9195132406798204,0,Light pink,4529
-0.943516378,-1.116312931,-0.17046116,-0.266821581,0.7364534312421392,0,Light pink,4530
0.46379116699069856,0.4514540427907158,-0.085949339,-0.266821581,0.06523413,2,Purple,4531
-1.045229364,-1.157569957,-0.174246943,-0.266821581,-0.178845616,0,Light pink,4532
-0.299889942,-0.37368647,-0.164726482,-0.266821581,-0.667005108,1,Pink,4533
1.134096419531084,1.070309427277973,0.10819338271626579,-0.266821581,0.7974733677213663,2,Purple,4534
0.30705312286433983,0.3606885863992519,-0.056081228,-0.266821581,0.30931387588755005,2,Purple,4535
1.8811032681333049,0.7815102478505865,-0.069148527,-0.266821581,-5.48758009,1,Pink,4536
-0.686732774,-0.868770777,-0.133476971,-0.266821581,0.8584933042005933,0,Light pink,4537
-0.006422965,0.17090626848982604,-0.147552319,-0.266821581,-1.460264282,1,Pink,4538
-0.286550534,-0.167401342,-0.157819482,-0.266821581,-1.216184536,1,Pink,4539
0.8406294432944976,0.9135327298745348,-0.097149881,-0.266821581,-0.117825679,2,Purple,4540
0.005249017,0.2369175095018002,-0.15053913,-0.266821581,-0.117825679,0,Light pink,4541
0.043599814651949474,-0.043630265,-0.16136632,-0.266821581,-0.483945298,1,Pink,4542
12.477595506675966,4.742184708569033,0.044723647,-0.266821581,-4.023101614,2,Purple,4543
-0.274878552,-0.241663988,-0.134858371,-0.266821581,0.12625406644986897,0,Light pink,4544
-0.219853494,0.038883786,-0.155019346,-0.266821581,-1.033124727,1,Pink,4545
-0.319899054,-0.489206142,-0.146058913,-0.266821581,0.30931387588755005,0,Light pink,4546
-0.369921834,-0.249915393,-0.156923438,-0.266821581,-0.056805743,0,Light pink,4547
0.5304882070444683,0.5339680940556839,-0.093416367,-0.266821581,0.30931387588755005,2,Purple,4548
-0.303224794,-0.291172419,-0.136351777,-0.266821581,0.06523413,0,Light pink,4549
0.5921829690942052,0.7402532222181029,-0.138441611,-0.266821581,-0.789044981,2,Purple,4550
-0.620035734,-0.753251106,-0.15737146,-0.266821581,0.9195132406798204,0,Light pink,4551
0.3470713468966017,0.6742419812061288,0.067822897,-0.266821581,0.9195132406798204,2,Purple,4552
-1.287006134,-1.322598059,-0.172585529,-0.266821581,0.8584933042005933,0,Light pink,4553
0.8673082593160055,0.8475214888625607,-0.076615555,-0.266821581,-0.117825679,2,Purple,4554
-0.419944614,-0.992541854,-0.174844305,-0.266821581,-1.643324091,1,Pink,4555
0.8806476673267593,0.979543971,-0.108350423,-0.266821581,-0.544965235,2,Purple,4556
1.7993993940674373,1.771678863030198,0.087659056,-0.266821581,0.004214193,2,Purple,4557
0.080283187,-0.208658367,-0.149792427,-0.266821581,-1.765363964,1,Pink,4558
0.7422513092151873,0.6164821453206512,0.09139257,-0.266821581,0.6144135582836853,2,Purple,4559
-0.524992452,-0.555217383,-0.163606428,-0.266821581,0.06523413,0,Light pink,4560
-0.308227072,-0.860519372,-0.162486374,-0.266821581,-0.605985171,0,Light pink,4561
0.5304882070444683,0.8722757042420511,-0.048651536,-0.266821581,0.187274003,2,Purple,4562
-1.243653058,-1.479374757,-0.174993646,-0.266821581,0.8584933042005933,0,Light pink,4563
-0.640044846,-0.827513752,-0.154552657,-0.266821581,0.9195132406798204,0,Light pink,4564
1.681012147971996,1.771678863030198,-0.000115855,-0.266821581,0.004214193,2,Purple,4565
0.11196428070706345,0.2369175095018002,-0.142698751,-0.266821581,-0.605985171,1,Pink,4566
0.3937592749342404,0.5917279299411607,-0.125151235,-0.266821581,0.06523413,2,Purple,4567
0.5471624670579107,0.5339680940556839,-0.142325399,-0.266821581,-1.765363964,1,Pink,4568
0.5471624670579107,1.689164812,-0.067319105,-0.266821581,0.9195132406798204,2,Purple,4569
0.086952891,0.16265486336332946,-0.117684207,-0.266821581,-0.911084854,1,Pink,4570
-0.878486764,-0.910027803,-0.169214166,-0.266821581,0.6144135582836853,0,Light pink,4571
-0.22152092,-0.365435065,-0.089962867,-0.266821581,0.8584933042005933,0,Light pink,4572
-0.661721384,-0.827513752,-0.149587084,-0.266821581,0.9195132406798204,0,Light pink,4573
2.2479369884290383,2.1677463091020424,0.9220994101910308,-0.266821581,0.6754334947629123,2,Purple,4574
-0.653384254,-0.538714572,-0.165473185,-0.266821581,0.24829393940832303,0,Light pink,4575
0.6305337671251229,0.4514540427907158,-0.070268581,-0.266821581,-0.178845616,2,Purple,4576
-0.286550534,-0.208658367,-0.160656952,-0.266821581,-1.033124727,1,Pink,4577
-0.053110893,-0.043630265,-0.143818805,-0.266821581,0.06523413,0,Light pink,4578
-0.019762373,-0.291172419,-0.15875286,-0.266821581,-0.544965235,1,Pink,4579
-0.886823894,-0.951284829,-0.165473185,-0.266821581,0.9195132406798204,0,Light pink,4580
5.6494860311712936,4.007809652,3.162207742690384,-0.266821581,0.30931387588755005,2,Purple,4581
-0.128145063,0.2616717248812907,-0.160619617,-0.273270378,-1.1551646,1,Pink,4582
0.23201895280384874,0.3689399915257485,-0.030693334,-0.273270378,-0.117825679,2,Purple,4583
5.731189905237161,4.139832134334769,1.685603,-0.273270378,-0.850064917,2,Purple,4584
2.508055445,2.308020196252487,1.6127994793783311,-0.273270378,0.6754334947629123,2,Purple,4585
1.8811032681333049,1.689164812,-0.034053496,-0.273270378,-0.056805743,2,Purple,4586
-0.119807933,0.3359343710197614,-0.034800199,-0.273270378,0.8584933042005933,0,Light pink,4587
0.6638822871520076,0.6164821453206512,0.14179500770375608,-0.273270378,0.7364534312421392,2,Purple,4588
0.21200984078771795,-0.08488729,2.257764003,-0.273270378,0.004214193,2,Purple,4589
-0.453293134,-0.414943495,-0.163419753,-0.273270378,-0.300885489,0,Light pink,4590
0.7472535872192198,0.7815102478505865,-0.063548256,-0.273270378,0.004214193,2,Purple,4591
-0.653384254,-0.497457547,-0.159499563,-0.273270378,0.12625406644986897,0,Light pink,4592
-0.636709994,-0.868770777,-0.160619617,-0.273270378,0.12625406644986897,0,Light pink,4593
-0.203179234,-0.538714572,-0.16136632,-0.273270378,-0.97210479,1,Pink,4594
-0.119807933,0.5339680940556839,-0.134858371,-0.273270378,0.9195132406798204,0,Light pink,4595
0.7322467532071215,0.773258843,0.1661020498683178,-0.273270378,0.9195132406798204,2,Purple,4596
1.4142239877569167,1.689164812,0.14366176464750555,-0.273270378,0.187274003,2,Purple,4597
0.610524655,0.7402532222181029,-0.068028473,-0.273270378,0.24829393940832303,2,Purple,4598
0.46379116699069856,0.5092138786761934,-0.157259455,-0.273270378,-1.094144663,1,Pink,4599
-0.069785153,0.10489502747785227,-0.143818805,-0.273270378,-0.544965235,1,Pink,4600
3.340101019309517,2.976384011498725,2.023486007003213,-0.273270378,0.43135374884600414,2,Purple,4601
-0.524992452,-0.596474408,-0.164726482,-0.273270378,0.004214193,0,Light pink,4602
0.21367726678906215,0.24516891462829715,-0.136351777,-0.273270378,-0.483945298,1,Pink,4603
-0.328236184,-0.538714572,-0.155019346,-0.273270378,0.12625406644986897,0,Light pink,4604
0.5454950410565664,0.6412363607001417,-0.106483666,-0.273270378,-0.056805743,2,Purple,4605
0.2637000468293896,0.4514540427907158,-0.154085968,-0.273270378,-1.521284218,1,Pink,4606
-0.169830714,-0.126144316,-0.112270612,-0.273270378,0.24829393940832303,0,Light pink,4607
0.6755542691614174,-0.076635885,-0.170140078,-0.273270378,-4.328201297,1,Pink,4608
0.11363170670840765,0.32768296589326484,-0.12365783,-0.273270378,0.06523413,0,Light pink,4609
-0.203179234,-0.126144316,-0.157632806,-0.273270378,-0.97210479,1,Pink,4610
-0.008090391,-0.05188167,-0.063921607,-0.273270378,0.7974733677213663,0,Light pink,4611
0.38375471892617485,0.7650074375975934,-0.082215826,-0.273270378,0.187274003,2,Purple,4612
-0.249867162,-0.150898531,-0.132618263,-0.273270378,0.4923736853252312,0,Light pink,4613
-0.461630264,-0.456200521,-0.160656952,-0.273270378,0.24829393940832303,0,Light pink,4614
-0.886823894,-0.844016562,-0.16812398,-0.273270378,0.3703338123667771,0,Light pink,4615
-0.536664434,-0.662485649,-0.155467368,-0.273270378,0.187274003,0,Light pink,4616
3.565203529,3.2156747601671314,0.49274531312865477,-0.273270378,-0.361905425,2,Purple,4617
0.5454950410565664,0.6989961965856193,-0.116190802,-0.273270378,-0.178845616,2,Purple,4618
-0.40493778,-0.472703331,-0.160992969,-0.273270378,-0.056805743,0,Light pink,4619
-0.503315914,-0.868770777,-0.146152251,-0.273270378,0.30931387588755005,0,Light pink,4620
-0.54666899,-0.563468788,-0.142138723,-0.273270378,0.9195132406798204,0,Light pink,4621
0.33373193888584773,0.7897616529770831,-0.075122149,-0.273270378,0.43135374884600414,2,Purple,4622
1.0957456215001664,1.1693262887959341,0.078325272,-0.273270378,0.30931387588755005,2,Purple,4623
0.36041075490735563,0.5752251196881675,-0.072882041,-0.273270378,0.3703338123667771,2,Purple,4624
-1.225311372,-1.429866326,-0.174918975,-0.273270378,0.8584933042005933,0,Light pink,4625
-0.203179234,-0.08488729,-0.156886103,-0.273270378,-1.521284218,1,Pink,4626
-0.369921834,-0.456200521,-0.169206699,-0.273270378,-1.521284218,1,Pink,4627
0.4354449249678464,0.6989961965856193,-0.095581805,-0.273270378,-0.422925362,2,Purple,4628
0.21034241478637375,0.6742419812061288,0.15129680054744085,-0.273270378,0.8584933042005933,2,Purple,4629
-0.034769207,0.16265486336332946,-0.146058913,-0.273270378,0.06523413,0,Light pink,4630
0.5454950410565664,0.6164821453206512,-0.059814742,-0.273270378,0.187274003,2,Purple,4631
-1.153612054,-1.446369136,-0.177084413,-0.273270378,-1.216184536,1,Pink,4632
-1.293675838,0.088392217,-0.115817451,-0.273270378,0.004214193,0,Light pink,4633
-1.020217974,-1.149318552,-0.172977548,-0.279719175,0.8584933042005933,0,Light pink,4634
0.5471624670579107,0.7815102478505865,-0.144752183,-0.279719175,-0.911084854,2,Purple,4635
0.7472535872192198,0.7485046273445994,0.093259327,-0.279719175,0.7364534312421392,2,Purple,4636
-0.32156648,-0.241663988,-0.15875286,-0.279719175,-0.056805743,0,Light pink,4637
-0.389930946,-0.167401342,-0.157632806,-0.279719175,-0.117825679,0,Light pink,4638
-0.595024344,-0.662485649,-0.160619617,-0.279719175,0.3703338123667771,0,Light pink,4639
-0.286550534,-0.249915393,-0.157632806,-0.279719175,-0.361905425,0,Light pink,4640
-0.861812504,-0.835765157,-0.15729679,-0.279719175,0.7974733677213663,0,Light pink,4641
0.7472535872192198,0.6989961965856193,-0.106483666,-0.279719175,-0.117825679,2,Purple,4642
-0.20484666,0.038883786,-0.162486374,-0.279719175,-0.97210479,1,Pink,4643
-0.286550534,0.080140812,-0.153525941,-0.279719175,-0.422925362,0,Light pink,4644
-0.686732774,-0.786256726,-0.143481295,-0.279719175,0.7364534312421392,0,Light pink,4645
-0.278213404,-0.043630265,-0.127391344,-0.279719175,-0.056805743,0,Light pink,4646
0.7505884392219081,0.5834765248146642,-0.086322691,-0.279719175,0.187274003,2,Purple,4647
6.383153472,2.5143053244149063,0.003654994,-0.279719175,-2.497603202,2,Purple,4648
0.9023242053442342,0.7154990068386125,0.31075891219640733,-0.279719175,0.9195132406798204,2,Purple,4649
-1.003543714,-0.868770777,-0.173317298,-0.279719175,0.7364534312421392,0,Light pink,4650
-0.953520934,-1.116312931,-0.154914808,-0.279719175,0.8584933042005933,0,Light pink,4651
-1.086915014,-1.446369136,-0.171073456,-0.279719175,-2.253523456,1,Pink,4652
0.1970030067756198,0.5339680940556839,-0.142325399,-0.279719175,-0.544965235,2,Purple,4653
-0.911835284,-1.03379888,-0.170879313,-0.279719175,0.9195132406798204,0,Light pink,4654
-0.369921834,-0.464451926,-0.11973764,-0.279719175,0.5533936218044582,0,Light pink,4655
0.46379116699069856,0.9465383503805219,-0.097336557,-0.279719175,0.30931387588755005,2,Purple,4656
0.5304882070444683,0.7815102478505865,-0.054214471,-0.279719175,0.187274003,2,Purple,4657
0.068611205,-1.01729607,-0.137061469,-0.279719175,-0.056805743,0,Light pink,4658
1.0157091734356427,1.0373038067719857,-0.102750152,-0.279719175,-0.544965235,2,Purple,4659
0.38041986692348645,0.096643622,-0.163606428,-0.279719175,-5.914719645,1,Pink,4660
0.41376838695037116,0.5752251196881675,-0.147552319,-0.279719175,0.004214193,2,Purple,4661
0.4921374090135507,0.5752251196881675,-0.141952048,-0.279719175,-1.033124727,1,Pink,4662
-0.443288578,-0.291172419,-0.165103567,-0.279719175,-1.460264282,1,Pink,4663
-0.820126854,-1.000793259,-0.104803585,-0.279719175,0.06523413,0,Light pink,4664
0.046934667,0.2039118889958131,-0.130844844,-0.279719175,-0.117825679,0,Light pink,4665
-0.28821796,-0.208658367,5.179440230161601,-0.279719175,0.9195132406798204,0,Light pink,4666
0.2553629168226682,0.5009624735496968,0.02941624,-0.279719175,0.8584933042005933,2,Purple,4667
-0.386596094,-0.291172419,-0.048156845,-0.279719175,0.9195132406798204,0,Light pink,4668
0.8306248872864318,0.93003554,-0.10499026,-0.279719175,-0.544965235,2,Purple,4669
-0.318231628,4.486391149647633,-0.147552319,-0.279719175,-0.178845616,2,Purple,4670
1.4359005257743918,1.2600917451873987,-0.03778701,-0.279719175,-0.056805743,2,Purple,4671
1.0473902674611835,1.4416226579703273,-0.001945277,-0.279719175,0.24829393940832303,2,Purple,4672
-0.269876274,0.3029287505137743,-0.143818805,-0.279719175,-0.789044981,1,Pink,4673
2.0311716082542866,2.6463278064388542,2.023486007003213,-0.279719175,0.9195132406798204,2,Purple,4674
0.026925555,0.3606885863992519,-0.069223197,-0.279719175,0.24829393940832303,0,Light pink,4675
-0.133147341,0.2039118889958131,-0.164356865,-0.279719175,-1.582304155,1,Pink,4676
-0.183170122,0.6742419812061288,-0.123284478,-0.279719175,0.12625406644986897,2,Purple,4677
-0.299889942,-0.621228624,-0.063548256,-0.279719175,0.12625406644986897,0,Light pink,4678
0.13030596672185002,0.16265486336332946,-0.143072102,-0.279719175,-1.033124727,1,Pink,4679
-0.273211126,-0.109641506,-0.134858371,-0.279719175,0.187274003,0,Light pink,4680
-0.886823894,-0.885273588,-0.168086645,-0.279719175,0.7364534312421392,0,Light pink,4681
-0.119807933,-0.291172419,-0.160806293,-0.279719175,-1.704344028,1,Pink,4682
-0.595024344,-0.794508131,-0.15875286,-0.279719175,0.187274003,0,Light pink,4683
-0.499981062,-0.464451926,-0.14385614,-0.279719175,0.7364534312421392,0,Light pink,4684
0.38041986692348645,0.5339680940556839,-0.123284478,-0.279719175,-0.483945298,2,Purple,4685
-0.906833006,-0.901776398,-0.151043154,-0.279719175,0.8584933042005933,0,Light pink,4686
0.6305337671251229,0.8475214888625607,-0.11021718,-0.279719175,-0.300885489,2,Purple,4687
0.28871143684955297,0.5752251196881675,-0.082402501,-0.279719175,0.3703338123667771,2,Purple,4688
0.013586146627753155,0.3606885863992519,-0.127332914,-0.279719175,0.4923736853252312,0,Light pink,4689
0.026925555,0.21216329412231008,-0.113950694,-0.279719175,0.187274003,0,Light pink,4690
0.20534013678234084,0.24516891462829715,-0.142698751,-0.279719175,-1.216184536,1,Pink,4691
3.475162525418401,2.926875580739744,1.0527723962534932,-0.279719175,0.4923736853252312,2,Purple,4692
-0.519990174,-0.819262347,-0.164726482,-0.279719175,0.12625406644986897,0,Light pink,4693
1.2991715936641643,0.5917279299411607,-0.085949339,-0.279719175,0.187274003,2,Purple,4694
0.088620317,-0.043630265,-0.125151235,-0.279719175,-0.178845616,0,Light pink,4695
-0.611698604,-0.868770777,-0.166966591,-0.279719175,0.4923736853252312,0,Light pink,4696
-0.414942336,-0.472703331,-0.121417721,-0.279719175,0.7974733677213663,0,Light pink,4697
0.33039708688315905,0.393694207,-0.115817451,-0.279719175,0.24829393940832303,2,Purple,4698
-1.220309094,-1.363855085,-0.175404332,-0.279719175,0.8584933042005933,0,Light pink,4699
-0.753429814,-0.868770777,-0.159936235,-0.279719175,0.9195132406798204,0,Light pink,4700
-0.079789709,-0.010624644,-0.15875286,-0.279719175,-0.422925362,0,Light pink,4701
-0.753429814,-0.860519372,-0.16812398,-0.279719175,0.3703338123667771,0,Light pink,4702
-0.428281744,-0.282921013,-0.157670141,-0.279719175,0.12625406644986897,0,Light pink,4703
-0.239862606,0.030632381339381166,-0.113614677,-0.279719175,0.7974733677213663,0,Light pink,4704
-0.286550534,-0.381937875,-0.138218534,-0.279719175,0.12625406644986897,0,Light pink,4705
-0.253202014,-0.018876049,-0.151472508,-0.279719175,-0.178845616,0,Light pink,4706
-0.323233906,-0.794508131,-0.168833348,-0.286167971,-0.789044981,1,Pink,4707
-0.8551428,-0.885273588,-0.163419753,-0.286167971,0.7364534312421392,0,Light pink,4708
-1.287006134,-1.281341034,0.17721858746834585,-0.286167971,0.9195132406798204,0,Light pink,4709
-0.276545978,-0.291172419,-0.168730676,-0.286167971,-1.033124727,1,Pink,4710
0.045267241,0.5339680940556839,-0.112083937,-0.286167971,-0.056805743,2,Purple,4711
0.030260406641195524,0.5339680940556839,-0.113950694,-0.286167971,0.06523413,2,Purple,4712
-0.670058514,-0.703742675,-0.153712616,-0.286167971,0.30931387588755005,0,Light pink,4713
-0.96352549,-0.835765157,-0.160246266,-0.286167971,0.8584933042005933,0,Light pink,4714
-0.186504974,-0.043630265,-0.145685562,-0.286167971,0.004214193,0,Light pink,4715
-0.386596094,-0.37368647,-0.167153266,-0.286167971,-2.19250352,1,Pink,4716
0.11363170670840765,0.28642594026078083,-0.125151235,-0.286167971,-0.178845616,0,Light pink,4717
0.41210096094902693,0.4514540427907158,-0.112457288,-0.286167971,0.187274003,2,Purple,4718
-0.453293134,-0.505708952,-0.146809349,-0.286167971,0.9195132406798204,0,Light pink,4719
-0.419944614,-0.464451926,-0.120484343,-0.286167971,0.9195132406798204,0,Light pink,4720
0.9656863933953159,0.9877953760130056,-0.060188094,-0.286167971,-0.239865552,2,Purple,4721
-0.766769222,-0.629480029,-0.164995295,-0.286167971,0.9195132406798204,0,Light pink,4722
0.3737501629181096,0.6164821453206512,-0.034053496,-0.286167971,0.4923736853252312,2,Purple,4723
-0.433284022,-0.472703331,-0.139394591,-0.286167971,0.9195132406798204,0,Light pink,4724
0.9406750033751519,0.038883786,-0.15399263,-0.286167971,-4.755340852,1,Pink,4725
