Sport Boat,8,2,GRP,Used boat,Unknown,Switzerland,lower_50K,34464,Very High (171-1000),885,2011-2015,2012,64
Motor Yacht,7,3,GRP,Used boat,Unknown,Switzerland,lower_50K,32544,Very High (171-1000),885,1991-2000,1995,65
Wakeboard/Wakesurf,7,3,GRP,Used boat,Unknown,Switzerland,lower_50K,47040,Very High (171-1000),883,2001-2010,2009,66
Bowrider,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,33552,Very High (171-1000),879,2011-2015,2011,67
Motor Yacht,6,2,Wood,Used boat,Unknown,Switzerland,50K-150K,74880,Very High (171-1000),875,1900-1975,1967,68
Sport Boat,5,2,GRP,new boat on order,Unknown,Switzerland,lower_50K,8894.4,Very High (171-1000),873,Unknown,2020,69
Cabin Boat,10,3,Plastic,Used boat,Unknown,Czech Republic,50K-150K,80000,Very High (171-1000),870,2011-2015,2010,70
Sport Boat,8,3,GRP,Used boat,Unknown,Switzerland,lower_50K,36960,Very High (171-1000),870,1991-2000,1998,71
Flybridge,20,5,GRP,Used boat,Unknown,Croatia,Higher_1M,1020000,Very High (171-1000),869,2016-2020,2016,72
Cabin Boat,15,4,Unknown,Used boat,Unknown,France,150K-300K,220000,Very High (171-1000),869,2001-2010,2004,73
Classic,11,3,Steel,Used boat,Unknown,Germany,50K-150K,89000,Very High (171-1000),868,1900-1975,1901,74
Cabin Boat,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,23520,Very High (171-1000),867,2016-2020,2015,75
Cabin Boat,8,3,GRP,Used boat,Unknown,Switzerland,lower_50K,17280,Very High (171-1000),866,1976-1990,1989,76
Cabin Boat,7,3,GRP,Used boat,Unknown,Switzerland,lower_50K,6720,Very High (171-1000),866,1976-1990,1980,77
Cabin Boat,7,2,GRP,Used boat,Unknown,Switzerland,lower_50K,22080,Very High (171-1000),863,1991-2000,1992,78
Sport Boat,7,3,GRP,Used boat,Unknown,Switzerland,50K-150K,61248,Very High (171-1000),860,2016-2020,2016,79
Bowrider,6,2,GRP,new boat from stock,Unknown,Switzerland,lower_50K,45553,Very High (171-1000),859,2016-2020,2019,80
Sport Boat,7,3,GRP,Used boat,Unknown,Germany,lower_50K,29900,Very High (171-1000),851,2001-2010,2006,81
Fishing Boat,5,2,Plastic,Used boat,Unknown,Switzerland,lower_50K,3648,Very High (171-1000),849,1900-1975,1974,82
Motor Yacht,10,3,Plastic,Used boat,Unknown,Germany,50K-150K,86000,Very High (171-1000),832,1991-2000,1996,83
