Boat Type Main,Length,Width,Material,Boat Condition,Engine Type,Country,Price_Range_€,Price_Eur,N. views 7d grouped,N. views last 7d,Age Group,Year Built,F1
Trawler,11,4,Steel,Used boat,Unknown,France,50K-150K,90000,Medium (71-120),106,2001-2010,2005,4715
Motor Yacht,9,3,Steel,Used boat,Unknown,Netherlands,lower_50K,32500,Medium (71-120),106,1900-1975,1969,4716
Flybridge,12,4,PVC,Used boat,Unknown,Spain,50K-150K,145000,Medium (71-120),106,2001-2010,2002,4717
Hardtop,14,4,GRP,Used boat,Unknown,Italy,150K-300K,179000,Medium (71-120),106,2001-2010,2008,4718
Sport Boat,9,3,GRP,new boat from stock,Unknown,France,50K-150K,86990,Medium (71-120),106,Unknown,2020,4719
Cabin Boat,9,3,GRP,Display Model,Unknown,Germany,150K-300K,157500,Medium (71-120),106,Unknown,2020,4720
Flybridge,18,5,GRP,Used boat,Unknown,Spain,300K-1M,319000,Medium (71-120),106,2001-2010,2001,4721
Pilothouse,7,3,PVC,Used boat,Unknown,France,lower_50K,38280,Medium (71-120),106,Unknown,2020,4722
Motor Yacht,14,4,GRP,Used boat,Unknown,Germany,300K-1M,389000,Medium (71-120),106,2011-2015,2013,4723
Center console boat,9,3,Unknown,new boat from stock,Unknown,France,50K-150K,106850,Medium (71-120),106,Unknown,2020,4724
Working Boat,17,4,Steel,Used boat,Unknown,Netherlands,50K-150K,67750,Medium (71-120),106,1900-1975,1927,4725
Motor Yacht,12,4,Unknown,new boat from stock,Unknown,France,300K-1M,544404,Medium (71-120),106,Unknown,2020,4726
Pilothouse,12,4,GRP,Used boat,Unknown,Croatia,150K-300K,159000,Medium (71-120),106,2001-2010,2008,4727
Sport Boat,13,4,GRP,Used boat,Unknown,Italy,50K-150K,120000,Medium (71-120),106,1991-2000,1994,4728
Hardtop,16,5,Unknown,Used boat,Unknown,Italy,300K-1M,339000,Medium (71-120),106,2011-2015,2012,4729
Motor Yacht,19,5,Unknown,Used boat,Unknown,Italy,150K-300K,288000,Medium (71-120),106,2001-2010,2000,4730
Sport Boat,6,3,PVC,new boat from stock,Unknown,France,lower_50K,25680,Medium (71-120),106,2016-2020,2019,4731
Bowrider,6,2,GRP,new boat on order,Unknown,Germany,lower_50K,36999,Medium (71-120),106,Unknown,2020,4732
Hardtop,11,4,PVC,Used boat,Unknown,Spain,150K-300K,170000,Medium (71-120),106,2011-2015,2011,4733
Cabin Boat,7,2,Carbon Fiber,Used boat,Unknown,France,lower_50K,24500,Medium (71-120),106,2016-2020,2016,4734
Flybridge,11,4,GRP,Used boat,Unknown,Italy,50K-150K,135000,Medium (71-120),106,2001-2010,2009,4735
Motor Yacht,10,4,GRP,new boat from stock,Unknown,Germany,150K-300K,249841,Medium (71-120),106,Unknown,2020,4736
Motor Yacht,19,10,Carbon Fiber,Used boat,Unknown,Spain,Higher_1M,2200000,Medium (71-120),106,2016-2020,2016,4737
Bowrider,8,3,Aluminium,Display Model,Unknown,Switzerland,50K-150K,55200,Medium (71-120),106,2011-2015,2013,4738
Motor Yacht,13,4,Steel,Used boat,Unknown,Netherlands,lower_50K,49000,Medium (71-120),106,1900-1975,1972,4739
Hardtop,17,5,GRP,Used boat,Unknown,Italy,300K-1M,525000,Medium (71-120),106,2001-2010,2008,4740
Flybridge,14,4,PVC,Used boat,Unknown,France,300K-1M,595000,Medium (71-120),106,2016-2020,2018,4741
Motor Yacht,13,4,PVC,Used boat,Unknown,France,150K-300K,290000,Medium (71-120),106,2016-2020,2016,4742
Pilothouse,8,3,PVC,Used boat,Unknown,France,lower_50K,39500,Medium (71-120),106,2011-2015,2012,4743
Trawler,10,3,Steel,Used boat,Unknown,Netherlands,50K-150K,119000,Medium (71-120),106,1991-2000,1999,4744
Hardtop,16,5,PVC,Used boat,Unknown,France,300K-1M,439000,Medium (71-120),106,2011-2015,2013,4745
House Boat,16,3,Steel,Used boat,Unknown,Netherlands,50K-150K,64500,Medium (71-120),106,1900-1975,1927,4746
Sport Boat,7,2,Unknown,Used boat,Unknown,Denmark,Higher_1M,7004940,Medium (71-120),106,2016-2020,2019,4747
Pilothouse,10,3,GRP,new boat from stock,Unknown,Italy,150K-300K,215000,Medium (71-120),106,Unknown,2020,4748
Hardtop,15,5,PVC,Used boat,Unknown,France,300K-1M,650000,Medium (71-120),106,2016-2020,2017,4749
Pilothouse,8,3,PVC,Used boat,Unknown,France,50K-150K,57000,Medium (71-120),106,2011-2015,2011,4750
Flybridge,15,5,PVC,Used boat,Unknown,Spain,50K-150K,119000,Medium (71-120),106,1991-2000,1992,4751
Motor Yacht,9,3,GRP,new boat from stock,Unknown,Germany,50K-150K,102730,Medium (71-120),106,Unknown,2021,4752
Motor Yacht,10,3,PVC,Used boat,Unknown,Croatia,50K-150K,98000,Medium (71-120),106,2001-2010,2005,4753
Motor Yacht,11,3,GRP,new boat from stock,Unknown,Germany,150K-300K,279900,Medium (71-120),106,Unknown,2020,4754
Sport Boat,7,2,Aluminium,new boat from stock,Unknown,Switzerland,lower_50K,35400,Medium (71-120),106,Unknown,2020,4755
Flybridge,11,3,GRP,Used boat,Unknown,Croatia,50K-150K,125000,Medium (71-120),106,2001-2010,2005,4756
Hardtop,11,3,GRP,Used boat,Unknown,Croatia,50K-150K,74500,Medium (71-120),106,2001-2010,2000,4757
Motor Yacht,11,4,GRP,Used boat,Unknown,Spain,50K-150K,82000,Medium (71-120),106,2001-2010,2007,4758
Motor Yacht,10,3,Steel,Used boat,Unknown,Netherlands,50K-150K,65000,Medium (71-120),106,2001-2010,2006,4759
Sport Boat,8,3,GRP,new boat from stock,Unknown,Germany,50K-150K,65900,Medium (71-120),106,2016-2020,2018,4760
Motor Yacht,17,5,GRP,Used boat,Unknown,Spain,150K-300K,173999.13,Medium (71-120),106,2001-2010,2001,4761
Mega Yacht,30,7,GRP,Used boat,Unknown,Portugal,Higher_1M,5500000,Medium (71-120),106,2011-2015,2013,4762
Launch,8,3,Wood,Used boat,Unknown,Netherlands,lower_50K,35000,Medium (71-120),106,2001-2010,2003,4763
Hardtop,19,5,GRP,Used boat,Unknown,Malta,Higher_1M,1590000,Medium (71-120),106,2016-2020,2015,4764
Motor Yacht,10,3,Unknown,Used boat,Unknown,Croatia,50K-150K,115000,Medium (71-120),106,2016-2020,2018,4765
Motor Yacht,15,4,Unknown,Used boat,Unknown,Italy,150K-300K,225000,Medium (71-120),106,2001-2010,2004,4766
Hardtop,21,5,GRP,Used boat,Unknown,Italy,300K-1M,550000,Medium (71-120),106,2001-2010,2006,4767
Motor Yacht,13,4,GRP,Used boat,Unknown,Spain,150K-300K,195000,Medium (71-120),106,2011-2015,2011,4768
Sport Boat,6,2,GRP,new boat from stock,Unknown,Germany,lower_50K,23900,Medium (71-120),106,2016-2020,2019,4769
Motor Yacht,18,5,Unknown,Unknown,Diesel,Germany,300K-1M,430000,Medium (71-120),106,2001-2010,2006,4770
Hardtop,17,5,GRP,Used boat,Unknown,Greece,300K-1M,369900,Medium (71-120),106,2001-2010,2009,4771
Motor Yacht,10,3,PVC,Used boat,Unknown,France,50K-150K,105000,Medium (71-120),105,2011-2015,2014,4772
Motor Yacht,19,4,GRP,Used boat,Unknown,Germany,300K-1M,315000,Medium (71-120),105,2001-2010,2008,4773
Hardtop,14,4,GRP,Used boat,Unknown,Italy,150K-300K,220000,Medium (71-120),105,2001-2010,2008,4774
Motor Yacht,10,3,GRP,Used boat,Unknown,Italy,50K-150K,125000,Medium (71-120),105,2001-2010,2008,4775
Flybridge,18,5,GRP,Used boat,Unknown,Italy,150K-300K,200000,Medium (71-120),105,2001-2010,2003,4776
Motor Yacht,10,3,GRP,Used boat,Unknown,Spain,50K-150K,149000,Medium (71-120),105,2016-2020,2015,4777
Center console boat,12,4,Unknown,Used boat,Unknown,France,50K-150K,120000,Medium (71-120),105,2001-2010,2007,4778
Launch,11,3,GRP,Used boat,Unknown,Netherlands,50K-150K,87000,Medium (71-120),105,2001-2010,2008,4779
Flybridge,12,4,GRP,Used boat,Unknown,Italy,50K-150K,120000,Medium (71-120),105,2001-2010,2003,4780
Motor Yacht,13,4,GRP,Used boat,Unknown,United Kingdom,50K-150K,125000,Medium (71-120),105,2001-2010,2001,4781
Hardtop,14,4,PVC,new boat from stock,Unknown,France,300K-1M,433258,Medium (71-120),105,Unknown,2020,4782
Offshore Boat,9,3,Unknown,Used boat,Unknown,Germany,lower_50K,38900,Medium (71-120),105,2001-2010,2000,4783
Trawler,12,4,Steel,Used boat,Unknown,Germany,50K-150K,59990,Medium (71-120),105,1976-1990,1983,4784
Sport Boat,9,3,Plastic,Used boat,Unknown,Germany,50K-150K,63000,Medium (71-120),105,2001-2010,2009,4785
Trawler,16,5,Steel,Used boat,Unknown,Portugal,300K-1M,315000,Medium (71-120),105,2001-2010,2009,4786
Center console boat,7,3,PVC,Used boat,Unknown,France,50K-150K,67000,Medium (71-120),105,2016-2020,2018,4787
Motor Yacht,13,4,GRP,Used boat,Unknown,Netherlands,150K-300K,179000,Medium (71-120),105,1991-2000,1999,4788
Motor Yacht,11,3,GRP,Used boat,Unknown,Italy,50K-150K,150000,Medium (71-120),105,2001-2010,2009,4789
Sport Boat,8,3,GRP,Used boat,Unknown,Spain,150K-300K,245000,Medium (71-120),105,2016-2020,2019,4790
Sport Boat,10,3,PVC,Used boat,Unknown,France,50K-150K,81400,Medium (71-120),105,2001-2010,2007,4791
Pilothouse,7,3,PVC,Used boat,Unknown,United Kingdom,lower_50K,25230,Medium (71-120),105,2001-2010,2002,4792
Trawler,11,3,Steel,Used boat,Unknown,Netherlands,lower_50K,26500,Medium (71-120),105,1976-1990,1976,4793
Motor Yacht,29,7,GRP,Used boat,Unknown,Netherlands,Higher_1M,5400000,Medium (71-120),105,2016-2020,2016,4794
Flybridge,12,4,GRP,Used boat,Unknown,Italy,50K-150K,79000,Medium (71-120),105,1991-2000,1994,4795
Motor Yacht,8,3,GRP,new boat on order,Unknown,France,50K-150K,58800,Medium (71-120),105,Unknown,2020,4796
Sport Boat,8,3,GRP,Unknown,Unleaded,Germany,lower_50K,44990,Medium (71-120),105,2001-2010,2006,4797
Flybridge,10,3,PVC,Used boat,Unknown,France,50K-150K,75000,Medium (71-120),105,2001-2010,2009,4798
Sport Boat,6,2,GRP,new boat from stock,Unknown,Germany,lower_50K,44999,Medium (71-120),105,2016-2020,2019,4799
Sport Boat,6,2,Unknown,new boat from stock,Unknown,Denmark,Higher_1M,2230540,Medium (71-120),105,Unknown,2020,4800
Motor Yacht,9,3,GRP,Used boat,Unknown,Germany,lower_50K,49000,Medium (71-120),105,1991-2000,1991,4801
Motor Yacht,10,3,GRP,Used boat,Unknown,Croatia,50K-150K,54500,Medium (71-120),105,2001-2010,2001,4802
Pilothouse,9,3,PVC,Used boat,Unknown,France,50K-150K,95000,Medium (71-120),105,2016-2020,2017,4803
Passenger boat,11,4,Plastic,Used boat,Unknown,Ukraine,50K-150K,120000,Medium (71-120),105,1976-1990,1985,4804
Motor Yacht,19,5,GRP,Used boat,Unknown,Spain,300K-1M,749000,Medium (71-120),105,2011-2015,2011,4805
Motor Yacht,10,3,GRP,Used boat,Unknown,Malta,50K-150K,70000,Medium (71-120),105,2001-2010,2003,4806
Motor Yacht,20,5,Unknown,Used boat,Unknown,Greece,300K-1M,375000,Medium (71-120),105,2001-2010,2003,4807
Sport Boat,4,2,GRP,Used boat,Unknown,Netherlands,lower_50K,14750,Medium (71-120),105,2001-2010,2009,4808
Sport Boat,6,2,GRP,new boat from stock,Unknown,Germany,lower_50K,25999,Medium (71-120),105,2016-2020,2019,4809
Flybridge,15,5,GRP,Used boat,Unknown,Spain,50K-150K,89000,Medium (71-120),105,1991-2000,1991,4810
Motor Yacht,15,5,Unknown,Used boat,Unknown,Netherlands,50K-150K,145000,Medium (71-120),105,Unknown,2020,4811
Motor Yacht,19,5,PVC,new boat on order,Unknown,France,Higher_1M,2016000,Medium (71-120),105,Unknown,2020,4812
Motor Yacht,12,4,GRP,Used boat,Unknown,Netherlands,150K-300K,180000,Medium (71-120),105,2001-2010,2008,4813
Motor Yacht,16,4,Unknown,Used boat,Unknown,Italy,300K-1M,395000,Medium (71-120),105,2001-2010,2007,4814
Motor Yacht,18,5,Unknown,Used boat,Unknown,Spain,150K-300K,179995,Medium (71-120),105,1991-2000,1997,4815
Motor Yacht,13,4,Unknown,Used boat,Unknown,Malta,50K-150K,129000,Medium (71-120),105,2001-2010,2008,4816
Motor Yacht,15,5,GRP,Used boat,Unknown,Montenegro,300K-1M,540000,Medium (71-120),105,2011-2015,2013,4817
Hardtop,14,4,GRP,Used boat,Unknown,Germany,150K-300K,275000,Medium (71-120),105,2011-2015,2010,4818
Hardtop,13,4,GRP,Used boat,Unknown,Croatia,300K-1M,429000,Medium (71-120),105,2016-2020,2016,4819
Working Boat,11,3,Unknown,Used boat,Unknown,Italy,50K-150K,105000,Medium (71-120),104,2001-2010,2008,4820
Launch,9,3,Aluminium,Used boat,Unknown,Netherlands,50K-150K,79500,Medium (71-120),104,2016-2020,2016,4821
Bowrider,4,2,Unknown,new boat from stock,Unknown,Denmark,Higher_1M,1402480,Medium (71-120),104,Unknown,2020,4822
Trawler,10,3,Steel,Used boat,Unknown,Netherlands,lower_50K,32500,Medium (71-120),104,1976-1990,1977,4823
Flybridge,15,5,PVC,Used boat,Unknown,France,300K-1M,675000,Medium (71-120),104,2016-2020,2017,4824
Motor Yacht,11,3,GRP,new boat from stock,Unknown,France,150K-300K,154393,Medium (71-120),104,Unknown,2020,4825
Motor Yacht,11,4,GRP,Used boat,Unknown,Croatia,50K-150K,139000,Medium (71-120),104,2001-2010,2009,4826
Motor Yacht,11,3,GRP,Used boat,Unknown,Slovenia,150K-300K,165000,Medium (71-120),104,2001-2010,2007,4827
Motor Yacht,22,5,Unknown,Used boat,Unknown,Spain,Higher_1M,1100000,Medium (71-120),104,2011-2015,2010,4828
Motor Yacht,12,3,GRP,Used boat,Unknown,Portugal,50K-150K,140000,Medium (71-120),104,2001-2010,2002,4829
Sport Boat,14,4,GRP,new boat from stock,Unknown,Austria,300K-1M,780840,Medium (71-120),104,Unknown,2020,4830
House Boat,14,4,GRP,Used boat,Unknown,Croatia,300K-1M,359000,Medium (71-120),104,2016-2020,2016,4831
Launch,7,3,Unknown,new boat from stock,Unknown,Germany,lower_50K,33950,Medium (71-120),104,Unknown,2020,4832
Sport Boat,6,3,Wood,Used boat,Unknown,France,50K-150K,83000,Medium (71-120),104,2016-2020,2015,4833
Cabin Boat,10,3,GRP,Used boat,Unknown,Germany,lower_50K,32900,Medium (71-120),104,1976-1990,1978,4834
Pilothouse,8,3,PVC,Used boat,Unknown,France,lower_50K,24000,Medium (71-120),104,1976-1990,1989,4835
Motor Yacht,13,4,GRP,Unknown,Diesel,Germany,50K-150K,74990,Medium (71-120),104,1976-1990,1986,4836
Pilothouse,7,3,Unknown,new boat from stock,Unknown,Italy,lower_50K,26700,Medium (71-120),104,Unknown,2020,4837
Cabin Boat,10,3,PVC,Used boat,Unknown,France,lower_50K,39000,Medium (71-120),104,1900-1975,1974,4838
Trawler,12,4,PVC,Used boat,Unknown,France,50K-150K,145000,Medium (71-120),104,1976-1990,1981,4839
Center console boat,13,4,Unknown,Used boat,Unknown,Italy,lower_50K,39000,Medium (71-120),104,1991-2000,1992,4840
Motor Yacht,12,4,GRP,Used boat,Unknown,Croatia,50K-150K,65000,Medium (71-120),104,1991-2000,1991,4841
Flybridge,15,4,PVC,Used boat,Unknown,Netherlands,300K-1M,539000,Medium (71-120),104,2011-2015,2014,4842
Hardtop,14,4,PVC,Used boat,Unknown,Spain,150K-300K,209999,Medium (71-120),104,2011-2015,2011,4843
Hardtop,16,4,GRP,Used boat,Unknown,Spain,300K-1M,652456.5,Medium (71-120),104,2016-2020,2017,4844
Motor Yacht,11,3,GRP,Used boat,Unknown,Italy,150K-300K,195000,Medium (71-120),104,2001-2010,2009,4845
Flybridge,25,7,Aluminium,Used boat,Unknown,Greece,300K-1M,799900,Medium (71-120),104,1991-2000,1999,4846
Deck Boat,6,2,GRP,new boat from stock,Unknown,Germany,lower_50K,16900,Medium (71-120),104,2016-2020,2015,4847
Pilothouse,7,2,Unknown,new boat from stock,Unknown,Denmark,Higher_1M,6699080,Medium (71-120),104,Unknown,2020,4848
Center console boat,7,2,Unknown,new boat from stock,Unknown,Germany,lower_50K,41890,Medium (71-120),104,Unknown,2020,4849
Flybridge,17,5,GRP,Used boat,Unknown,Croatia,50K-150K,108000,Medium (71-120),104,1991-2000,1994,4850
Flybridge,14,5,Steel,Used boat,Unknown,Denmark,150K-300K,199000,Medium (71-120),104,2001-2010,2003,4851
Motor Yacht,18,5,GRP,Display Model,Unknown,Germany,Higher_1M,1280500,Medium (71-120),104,2016-2020,2019,4852
Motor Yacht,10,3,GRP,Used boat,Unknown,Spain,50K-150K,99000,Medium (71-120),104,2001-2010,2005,4853
Sport Boat,8,3,GRP,new boat on order,Unknown,Germany,50K-150K,99900,Medium (71-120),104,Unknown,2020,4854
Center console boat,6,3,GRP,new boat from stock,Unknown,Germany,50K-150K,53900,Medium (71-120),104,Unknown,2020,4855
Motor Yacht,26,6,Wood,Used boat,Unknown,Italy,150K-300K,280000,Medium (71-120),104,1991-2000,1996,4856
Motor Yacht,11,4,GRP,Used boat,Unknown,Italy,50K-150K,95000,Medium (71-120),104,2001-2010,2006,4857
Trawler,9,3,PVC,Used boat,Unknown,France,lower_50K,45000,Medium (71-120),104,1991-2000,1996,4858
Sport Boat,11,4,GRP,new boat from stock,Unknown,Switzerland,150K-300K,247820,Medium (71-120),104,Unknown,2020,4859
Cabin Boat,8,3,GRP,Used boat,Unknown,Portugal,lower_50K,49000,Medium (71-120),104,2001-2010,2007,4860
Cabin Boat,14,4,GRP,Used boat,Unknown,France,150K-300K,170000,Medium (71-120),104,2001-2010,2006,4861
Trawler,11,3,GRP,Used boat,Unknown,Croatia,lower_50K,50000,Medium (71-120),104,2001-2010,2005,4862
Motor Yacht,10,4,Unknown,Used boat,Unknown,Italy,50K-150K,120000,Medium (71-120),104,2001-2010,2009,4863
Trawler,14,4,GRP,Used boat,Unknown,Portugal,150K-300K,180000,Medium (71-120),104,2001-2010,2006,4864
Pilothouse,7,2,GRP,new boat from stock,Unknown,Germany,50K-150K,89650,Medium (71-120),104,Unknown,2020,4865
Motor Yacht,11,4,Steel,Used boat,Unknown,Netherlands,50K-150K,100000,Medium (71-120),104,1991-2000,1998,4866
Motor Yacht,22,5,GRP,Used boat,Unknown,Italy,300K-1M,450000,Medium (71-120),104,2001-2010,2001,4867
Sport Boat,7,3,Unknown,Used boat,Unknown,Spain,50K-150K,95995,Medium (71-120),104,2016-2020,2017,4868
Sport Boat,12,4,GRP,Display Model,Unknown,Croatia,150K-300K,256800,Medium (71-120),104,Unknown,2020,4869
Motor Yacht,19,5,Unknown,Used boat,Unknown,Italy,50K-150K,99000,Medium (71-120),104,1976-1990,1986,4870
Classic,20,5,Wood,Used boat,Unknown,Croatia,150K-300K,299000,Medium (71-120),104,1900-1975,1973,4871
Trawler,13,4,Steel,Used boat,Unknown,Netherlands,150K-300K,189000,Medium (71-120),103,2001-2010,2000,4872
Flybridge,11,4,Unknown,Used boat,Unknown,United Kingdom,50K-150K,82650,Medium (71-120),103,1991-2000,1997,4873
Mega Yacht,31,7,GRP,Used boat,Unknown,Spain,Higher_1M,5002500,Medium (71-120),103,2016-2020,2018,4874
Motor Yacht,14,4,GRP,Used boat,Unknown,Italy,50K-150K,88000,Medium (71-120),103,1991-2000,1996,4875
Pilothouse,7,3,PVC,Used boat,Unknown,France,lower_50K,25000,Medium (71-120),103,2001-2010,2007,4876
Trawler,14,4,PVC,Used boat,Unknown,France,300K-1M,350000,Medium (71-120),103,2011-2015,2014,4877
Flybridge,15,4,PVC,Used boat,Unknown,France,300K-1M,350000,Medium (71-120),103,2011-2015,2010,4878
Flybridge,11,4,PVC,Used boat,Unknown,France,50K-150K,89000,Medium (71-120),103,2001-2010,2006,4879
Flybridge,21,5,PVC,Used boat,Unknown,Spain,Higher_1M,1490000,Medium (71-120),103,2011-2015,2013,4880
Motor Yacht,16,4,GRP,Used boat,Unknown,Spain,300K-1M,319000,Medium (71-120),103,2001-2010,2005,4881
Hardtop,16,4,PVC,Used boat,Unknown,France,300K-1M,314000,Medium (71-120),103,2001-2010,2008,4882
Sport Boat,9,3,GRP,Used boat,Unknown,Spain,50K-150K,79000,Medium (71-120),103,2001-2010,2005,4883
Motor Yacht,10,3,Unknown,Used boat,Unknown,Netherlands,150K-300K,275000,Medium (71-120),103,2016-2020,2015,4884
Motor Yacht,15,4,Aluminium,Used boat,Unknown,Netherlands,300K-1M,599000,Medium (71-120),103,2011-2015,2014,4885
Motor Yacht,27,6,Unknown,Used boat,Unknown,Italy,300K-1M,950000,Medium (71-120),103,2001-2010,2008,4886
Trawler,12,4,Steel,Used boat,Unknown,Netherlands,50K-150K,59500,Medium (71-120),103,1991-2000,1992,4887
Pilothouse,9,3,PVC,Used boat,Unknown,France,lower_50K,44000,Medium (71-120),103,2001-2010,2004,4888
Hardtop,15,4,GRP,Used boat,Unknown,Croatia,150K-300K,195000,Medium (71-120),103,2001-2010,2008,4889
Sport Boat,7,2,PVC,Used boat,Unknown,Spain,lower_50K,34900,Medium (71-120),103,2001-2010,2007,4890
Hardtop,13,4,PVC,Used boat,Unknown,France,150K-300K,230000,Medium (71-120),103,2011-2015,2012,4891
Trawler,10,3,Steel,Used boat,Unknown,Germany,lower_50K,29900,Medium (71-120),103,1976-1990,1980,4892
Bowrider,8,3,PVC,Used boat,Unknown,France,50K-150K,138000,Medium (71-120),103,2016-2020,2016,4893
Motor Yacht,15,4,GRP,Used boat,Unknown,Croatia,150K-300K,220000,Medium (71-120),103,1991-2000,1998,4894
Hardtop,21,5,GRP,Used boat,Unknown,Spain,300K-1M,490000,Medium (71-120),103,2001-2010,2005,4895
Flybridge,10,4,GRP,Used boat,Unknown,Germany,150K-300K,237700,Medium (71-120),103,2016-2020,2019,4896
Motor Yacht,23,6,GRP,Used boat,Unknown,Greece,150K-300K,245000,Medium (71-120),103,1976-1990,1989,4897
Center console boat,8,3,PVC,new boat from stock,Unknown,France,50K-150K,58500,Medium (71-120),103,2016-2020,2019,4898
House Boat,12,4,Aluminium,new boat from stock,Unknown,Lithuania,50K-150K,99700,Medium (71-120),103,Unknown,2020,4899
Flybridge,14,4,PVC,Used boat,Unknown,United Kingdom,150K-300K,230506.5,Medium (71-120),103,2001-2010,2009,4900
Bowrider,9,3,GRP,Used boat,Unknown,France,lower_50K,38000,Medium (71-120),103,2001-2010,2004,4901
Bowrider,11,4,PVC,Used boat,Unknown,France,150K-300K,263000,Medium (71-120),103,2016-2020,2018,4902
Motor Yacht,16,5,GRP,Used boat,Unknown,Italy,300K-1M,310000,Medium (71-120),103,2001-2010,2004,4903
Pilothouse,6,3,PVC,new boat from stock,Unknown,Spain,50K-150K,95000,Medium (71-120),103,2016-2020,2019,4904
Motor Yacht,13,4,PVC,Used boat,Unknown,United Kingdom,50K-150K,103530,Medium (71-120),103,2001-2010,2000,4905
Pilothouse,13,4,PVC,Used boat,Unknown,France,50K-150K,135000,Medium (71-120),103,2001-2010,2005,4906
Flybridge,12,4,PVC,Used boat,Unknown,United Kingdom,50K-150K,117406.5,Medium (71-120),103,2001-2010,2002,4907
Mega Yacht,40,7,Steel,Used boat,Unknown,Philippines,Higher_1M,4553000,Medium (71-120),103,2011-2015,2011,4908
Motor Yacht,10,3,Steel,Used boat,Unknown,Netherlands,lower_50K,17500,Medium (71-120),103,1976-1990,1976,4909
Center console boat,10,4,GRP,Used boat,Unknown,Italy,50K-150K,75000,Medium (71-120),103,2001-2010,2004,4910
Motor Yacht,10,4,GRP,Used boat,Unknown,Germany,50K-150K,99000,Medium (71-120),103,2001-2010,2004,4911
Flybridge,18,5,PVC,Used boat,Unknown,France,300K-1M,865000,Medium (71-120),103,2016-2020,2015,4912
Pilothouse,7,2,Unknown,new boat from stock,Unknown,Germany,lower_50K,36300,Medium (71-120),103,Unknown,2020,4913
Flybridge,18,5,GRP,Used boat,Unknown,Germany,150K-300K,196000,Medium (71-120),103,1991-2000,1991,4914
Pontoon Boat,7,2,GRP,new boat from stock,Unknown,Italy,lower_50K,16650,Medium (71-120),103,2016-2020,2018,4915
Trawler,11,3,Steel,Used boat,Unknown,Netherlands,50K-150K,84500,Medium (71-120),103,1991-2000,1998,4916
Deck Boat,11,4,Wood,Used boat,Unknown,Italy,50K-150K,65000,Medium (71-120),103,2001-2010,2004,4917
Sport Boat,11,3,PVC,Used boat,Unknown,France,50K-150K,65000,Medium (71-120),103,2001-2010,2008,4918
House Boat,13,5,Unknown,Used boat,Unknown,Germany,150K-300K,179000,Medium (71-120),103,2016-2020,2017,4919
Motor Yacht,12,4,Steel,Used boat,Unknown,Netherlands,50K-150K,125000,Medium (71-120),103,2001-2010,2003,4920
Motor Yacht,9,3,GRP,Used boat,Unknown,Croatia,lower_50K,39500,Medium (71-120),103,1991-2000,1999,4921
Cabin Boat,8,3,PVC,Used boat,Unknown,Spain,50K-150K,60000,Medium (71-120),103,2016-2020,2018,4922
Motor Yacht,12,4,Steel,Used boat,Unknown,Netherlands,lower_50K,39500,Medium (71-120),103,1900-1975,1965,4923
Sport Boat,7,3,GRP,new boat on order,Unknown,Germany,50K-150K,95600,Medium (71-120),103,Unknown,2021,4924
Flybridge,22,5,GRP,Used boat,Unknown,Italy,300K-1M,465000,Medium (71-120),103,2001-2010,2002,4925
Trawler,11,4,Steel,Used boat,Unknown,Netherlands,50K-150K,95000,Medium (71-120),103,1976-1990,1985,4926
Motor Yacht,11,3,GRP,Used boat,Unknown,Italy,50K-150K,70000,Medium (71-120),103,2001-2010,2006,4927
Hardtop,9,3,PVC,Used boat,Unknown,Belgium,50K-150K,145000,Medium (71-120),103,2016-2020,2018,4928
Working Boat,19,4,Steel,Used boat,Unknown,Netherlands,50K-150K,62500,Medium (71-120),103,1976-1990,1979,4929
Trawler,15,4,Steel,Used boat,Unknown,Germany,300K-1M,460000,Medium (71-120),103,2011-2015,2010,4930
Center console boat,5,2,Unknown,Used boat,Unknown,Germany,lower_50K,14900,Medium (71-120),103,2016-2020,2018,4931
Flybridge,13,4,Steel,Used boat,Unknown,Netherlands,50K-150K,107500,Medium (71-120),102,1991-2000,1997,4932
Flybridge,20,5,Unknown,Used boat,Unknown,Italy,300K-1M,440000,Medium (71-120),102,2001-2010,2007,4933
Motor Yacht,12,4,GRP,Used boat,Unknown,Netherlands,50K-150K,99500,Medium (71-120),102,1991-2000,1998,4934
Trawler,17,5,Unknown,Used boat,Unknown,Italy,300K-1M,590000,Medium (71-120),102,2001-2010,2008,4935
Motor Yacht,8,3,Steel,Used boat,Unknown,Netherlands,lower_50K,16000,Medium (71-120),102,1976-1990,1978,4936
Flybridge,16,4,GRP,Used boat,Unknown,Spain,150K-300K,210000,Medium (71-120),102,2001-2010,2004,4937
Flybridge,12,4,GRP,Used boat,Unknown,Portugal,lower_50K,43000,Medium (71-120),102,1976-1990,1976,4938
Flybridge,12,4,Unknown,Used boat,Unknown,Italy,300K-1M,339000,Medium (71-120),102,2016-2020,2015,4939
Motor Yacht,17,5,Unknown,Used boat,Unknown,Italy,300K-1M,680000,Medium (71-120),102,2011-2015,2014,4940
Motor Yacht,29,7,GRP,Used boat,Unknown,Malta,Higher_1M,7100000,Medium (71-120),102,Unknown,2020,4941
Motor Yacht,12,3,GRP,Used boat,Unknown,Croatia,150K-300K,194900,Medium (71-120),102,2001-2010,2007,4942
Motor Yacht,23,5,GRP,Used boat,Unknown,Italy,Higher_1M,1275000,Medium (71-120),102,2001-2010,2009,4943
